Index,Name,Lat,Lng,Type
134,부산 영도구,35.09141720432652,129.03728231055294,Node
135,부산 중구,35.099642219969375,129.034912016568,Node
136,부산 해운대구,35.235614288371906,129.16058219298094,Node
137,서울 강남구,37.482864637708445,127.07520286222606,Node
138,서울 강동구,37.57970769332633,127.17628471333408,Node
139,서울 강북구,37.618878642514446,127.03643270244764,Node
140,서울 강서구,37.56485153039074,126.85747083171754,Node
141,서울 관악구,37.47532886704393,126.97149520374155,Node
142,서울 광진구,37.5569395282115,127.11290815574748,Node
143,서울 구로구,37.48605130593536,126.8815766997078,Node
144,서울 금천구,37.48229963141837,126.88606329812978,Node
145,서울 노원구,37.62017477448039,127.1040886663352,Node
146,서울 도봉구,37.69225800988481,127.0477830067515,Node
147,서울 동대문구,37.57639964089368,127.06672039880166,Node
148,서울 동작구,37.516100111409735,126.94590542983994,Node
149,서울 마포구,37.55128349059734,126.96210117534574,Node
150,서울 서대문구,37.5844748030425,126.92304091874152,Node
151,서울 서초구,37.461582868471055,127.06749208758868,Node
152,서울 성동구,37.55768660977813,127.023140140305,Node
153,서울 성북구,37.60669970304173,127.02739638819574,Node
154,서울 송파구,37.503053205606335,127.12306444104216,Node
155,서울 양천구,37.54734623474745,126.88057832093936,Node
156,서울 영등포구,37.542563091034935,126.90185061546684,Node
157,서울 용산구,37.54982967678434,126.97277832218327,Node
158,서울 은평구,37.62634013578963,126.9200970861486,Node
159,서울 종로구,37.586094402530776,126.98535400716167,Node
160,서울 중구,37.56538518937158,127.00339086142426,Node
161,서울 중랑구,37.606139919442526,127.11435397651876,Node
162,충남 계룡시,36.274768204012375,127.24867625059971,Node
163,충남 공주시,36.44217464540018,127.08817997099769,Node
164,충남 금산군,36.13809776795997,127.51221467710135,Node
165,충남 논산시,36.13396508508101,127.1861334440272,Node
166,충남 당진시,36.972323494626885,126.55087836729987,Node
167,충남 보령시,36.34586001575905,126.5970897686856,Node
168,충남 부여군,36.261861951787,126.83952561052077,Node
169,충남 서산시,36.79836963391201,126.4531976726208,Node
170,충남 서천군,36.09356356191346,126.7811931570424,Node
171,세종 세종시,36.5096099734869,127.30423151932962,Node
172,충남 아산시,36.79406046974795,127.03053848233662,Node
173,충남 예산군,36.74529000088316,126.7556073493387,Node
174,충남 천안시,36.69009551071232,127.06422300323992,Node
175,충남 청양군,36.40557864337581,126.77383660445037,Node
176,충남 태안군,36.430021939344286,126.42775588584882,Node
177,충남 홍성군,36.65697426422317,126.58983208575782,Node
178,울산 남구,35.49754364608026,129.3709563977202,Node
179,울산 동구,35.567707131332554,129.43793411725227,Node
180,울산 북구,35.62103481149253,129.3153676180758,Node
181,울산 울주군,35.66696257576953,129.23265981563762,Node
182,울산 중구,35.56897338505206,129.31464408142767,Node
183,인천 강화군,37.747954013106536,126.50279702435282,Node
184,인천 계양구,37.59028470970307,126.7228018744004,Node
